logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
CNTLN	-0.580391442997916	-0.792013737157338	-0.368769148838493	2.57406145794028	-5.61675384760131	5.07688670070223e-06	0.000676738195317009	4.12276231375427
ENPP1	1.89412018932158	1.20089609480659	2.58734428383657	4.64607233312917	5.59576790405988	5.37541875106663e-06	0.000708989441588052	4.06860904681877
TNFRSF1B	-1.11653384394909	-1.52594682300453	-0.707120864893655	2.07201110004817	-5.58516611189192	5.53289168756673e-06	0.000722157633804283	4.04124264205169
TMSB10	-1.04381262970637	-1.42685154445578	-0.660773714956954	11.1321993641826	-5.580915641228	5.59732278901942e-06	0.00072303561388055	4.03026924338242
ZC2HC1A	-1.01110546895109	-1.38285334427108	-0.639357593631106	3.86432864615655	-5.57023827663272	5.76252889481813e-06	0.000728642369864501	4.0026994615818
RSRC2	-0.552648236014597	-0.755956423626666	-0.349340048402528	5.8330448331209	-5.56698086007252	5.81390021219742e-06	0.000728642369864501	3.99428739403402
SPATA6	-0.953731314618329	-1.30479370550227	-0.60266892373439	2.96730714589753	-5.56374920255528	5.8653208844685e-06	0.000728642369864501	3.98594131388916
NFKBIZ	-1.48471193458192	-2.0312741140411	-0.938149755122735	7.17814362204756	-5.56324814710214	5.87333434607459e-06	0.000728642369864501	3.98464724043765
OLFML1	-0.809319714567476	-1.10789951736202	-0.510739911772936	6.38805651481991	-5.5511824529892	6.06966675611754e-06	0.000745616906413263	3.95348142091425
NFATC3	0.529433494254234	0.332778416435034	0.726088572073433	3.76032482975436	5.51355939356021	6.72531133450482e-06	0.000809600435806225	3.85625497545822
SEMA3A	2.18302567659155	1.37203498357418	2.99401636960893	5.3256648579485	5.51275615107488	6.74006036472191e-06	0.000809600435806225	3.85417848412564
XXbac.BPG181B23.6	-0.976552766634648	-1.33967770299582	-0.613427830273474	0.750684968714972	-5.50763879007806	6.83479184289692e-06	0.000809600435806225	3.84094870835359
PALLD	-0.996675565328396	-1.36765596576721	-0.625695164889582	3.98343791030409	-5.50210221692929	6.9387930958066e-06	0.000809600435806225	3.82663380165989
ZIC1	1.41884803864098	0.890251062632377	1.94744501464959	5.53201296367964	5.49714279889579	7.03330405780135e-06	0.000809600435806225	3.81380995725619
GYPC	-0.682987360648787	-0.937437846228335	-0.428536875069238	5.92808329142028	-5.49711967141186	7.03374781536291e-06	0.000809600435806225	3.81375015262835
